time,dt,e_yy,gr0_area,grain_tracker,run_time,slip_increment,stress_yy,vonmises_stress
0.6774611115608,0.011075029296642,0.0021201926750658,70811.802281023,2,691.202183248,0.00024840489646461,192.66154563488,170.59143986011
0.69075114671677,0.01329003515597,0.0021619023211887,70811.632145522,2,707.806437346,0.00024965501665816,193.26041308742,171.16524650736
0.70669918890394,0.015948042187165,0.0022119638955895,70811.427019776,2,724.874263239,0.00025060438376418,193.90818080742,171.79192449326
0.72583683952854,0.019137650624597,0.002272052073328,70811.179489849,2,743.065891421,0.00025138188888502,194.6057631644,172.47835808493
0.7373194299033,0.011482590374758,0.0023081120458646,70811.03643452,2,801.759304844,0.00025187946986515,195.00975038618,172.8766617003
0.74880202027805,0.011482590374758,0.0023441775235605,70810.888739052,2,818.956426667,0.00025227684649237,195.38688000064,173.25293110655
0.76258112872776,0.01377910844971,0.0023874635543195,70810.709205729,2,836.915781063,0.00025292610086659,195.812368015,173.68264007003
0.77084859379759,0.0082674650698261,0.0024134389133851,70810.605210623,2,895.709658669,0.00025329684977685,196.06207776917,173.93370948811
0.77911605886742,0.0082674650698261,0.0024394171149414,70810.497871559,2,912.786812945,0.00025376878511899,196.3023828598,174.17830601486
0.78903701695121,0.0099209580837913,0.0024705948572875,70810.367509983,2,930.168720929,0.00025433440045917,196.57747263614,174.46058076552
0.80094216665176,0.01190514970055,0.0025080136871716,70810.210047852,2,947.771487191,0.00025497609142351,196.88756542779,174.78137888491
0.81522834629242,0.01428617964066,0.0025529243723047,70810.020125958,2,966.304371323,0.00025591759606754,197.23823671653,175.14580032556
0.83237176186121,0.017143415568791,0.0026068287004032,70809.791045967,2,986.027449637,0.00025717771345009,197.62859842371,175.55543298348
0.85294386054376,0.02057209868255,0.0026715302741962,70809.514556193,2,1006.933006345,0.00025880683727452,198.05683201333,176.01020607679
0.86528711975329,0.01234325920953,0.0027103592220333,70809.354746161,2,1070.430616493,0.00025987204119657,198.31105811527,176.2769629777
0.87145874935805,0.0061716296047649,0.0027297758738897,70809.272032792,2,1126.805001948,0.00026044524318958,198.43863356536,176.41148975327
0.87300165675924,0.0015429074011912,0.0027346302257474,70809.246000484,2,1200.652618439,0.00026059526671491,198.47111407421,176.44548288757
0.87454456416043,0.0015429074011912,0.0027394847008881,70809.223366755,2,1212.303678244,0.00026076920332016,198.5031827541,176.47934603349
0.87639605304186,0.0018514888814295,0.0027453101995417,70809.197516641,2,1224.131050837,0.0002609914966859,198.54145386879,176.51997575266
0.87861783969958,0.0022217866577154,0.0027523009974061,70809.167038634,2,1236.089102889,0.00026126176215004,198.58693764149,176.56824095118
0.88128398368884,0.0026661439892584,0.0027606902439564,70809.130676268,2,1248.125837275,0.00026158857727449,198.6408193303,176.62524046998
0.88448335647595,0.0031993727871101,0.002770757744993,70809.087104521,2,1260.311326128,0.00026198322575148,198.70447655077,176.69272731806
